response_id,submitted_at,survey,score,comment,segment,language,channel
r_1169,2026-08-12T07:39:01Z,Relationship NPS Q3,9 ,Integrations just work. Zapier plus Slack covers everything we need.,growth,en,embed
r_1037,2026-08-09T23:54:44Z,Post-support CSAT,6,The new pricing feels aggressive for what is essentially the same product.,Scale,en,sdk
r_1247,2026-08-23T07:51:13Z,Post-support CSAT,6,No mobile app is my only complaint.,Scale,en,link
r_1164,2026-08-12T11:52:21Z,Post-support CSAT,4,Das Dashboard ist bei großen Datenmengen sehr langsam.,Growth,de,embed
r_1234,2026-08-18T21:37:06Z,Onboarding NPS,10,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Enterprise,en,embed
r_1207,2026-08-18T04:04:40Z,Post-support CSAT,9,Die Slack-Integration ist hervorragend.,Enterprise,de,sdk
r_1034,2026-08-04T06:58:04Z,Onboarding NPS,8,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,embed
r_1200,2026-08-15T09:03:53Z,Relationship NPS Q3,7,"We use Slack, Zendesk, and HubSpot integrations; all three work, though HubSpot is still ""beta"".",Enterprise,en,sdk
r_1030,2026-08-07T00:14:53Z,Post-support CSAT,9,Had our first survey out within an hour of signing up. Really smooth onboarding.,Growth,en,email
r_1091,2026-08-08T13:48:21Z,Post-support CSAT,5,Export data does not match the dashboard totals. Timezone maybe?,Growth,en,embed
r_1063,2026-08-07T05:31:17Z,Post-support CSAT,8,Integrations just work. Zapier plus Slack covers everything we need.,Enterprise,en,slack
r_1043,2026-08-06T16:02:02Z,Relationship NPS Q3,7,Cost is now our main concern. The product is fine but the increase was too much at once.,Enterprise,en,slack
r_1219,2026-08-17T05:47:29Z,Relationship NPS Q3,9,,Growth,en,link
r_1258,20-08-2026 23:01,Relationship NPS Q3,4,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Enterprise,en,email
r_1028,2026-08-09T00:56:13Z,Post-support CSAT,9,Setting up the HubSpot sync was easy and the NPS property shows up in contacts.,Scale,en,sdk
r_1235,2026-08-17T11:30:22Z,Post-support CSAT,6,The dashboard freezes when we apply date filters over a year of data.,Enterprise,en,email
r_1092,2026-08-08T20:20:10Z,Relationship NPS Q3,N/A,No mobile app is my only complaint.,Growth,en,link
r_1309,2026-08-19T15:01:12Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1088,08/08/2026 17:08,Relationship NPS Q3,10,,Starter,en,email
r_1001,2026-08-05T17:02:10Z,Onboarding NPS,3,Performance of the main dashboard is the one thing holding us back from a 9.,enterprise,en,slack
r_1044,2026-08-08T02:37:15Z,Onboarding NPS,4,The dashboard freezes when we apply date filters over a year of data.,Growth,en,link
r_1121,16-08-2026 20:59,Relationship NPS Q3,7,We moved to Pulse in March after two years on a competitor. The migration itself was fine. We moved to Pulse in March after two years on a competitor. The migration itself was fine. We moved to Pulse in March after two years on a competitor. The migration itself was fine. We moved to Pulse in March after two years on a competitor. The migration itself was fine. We moved to Pulse in March after two years on a competitor. The migration itself was fine. We moved to Pulse in March after two years on a competitor. The migration itself was fine. The one thing we keep coming back to is the dashboard speed with a large volume of historical responses; it is the main reason we are not at a 9.,Scale,de,slack
r_1243,2026-08-20T00:29:50Z,Onboarding NPS,2,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Enterprise,en,link
r_1236,2026-08-21T03:11:13Z,Relationship NPS Q3,5,Dashboard takes 20+ seconds to load once you have a few hundred thousand responses.,Scale,en,slack
r_1161,2026-08-10T14:52:24Z,Post-support CSAT,8,Integrations just work. Zapier plus Slack covers everything we need.,Scale,en,link
r_1275,2026-08-21T12:07:38Z,Post-support CSAT,3,The price went up 25% at renewal with no real change in what we get. Hard to justify to finance.,Scale,en,email
r_1003,2026-08-08T22:48:22Z,Onboarding NPS,10,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Scale,en,link
r_1152,2026-08-14T01:59:42Z,Post-support CSAT,10,Pulse Signals surfaced a shipping complaint theme weeks before our team noticed it.,Enterprise,en,slack
r_1133,2026-08-16T05:39:58Z,Post-support CSAT,8,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,sdk
r_1199,2026-08-13T16:57:27Z,Relationship NPS Q3,2,The price went up 25% at renewal with no real change in what we get. Hard to justify to finance.,Growth,en,email
r_1306,2026-08-19T15:00:45Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1237,2026-08-22T00:19:08Z,Relationship NPS Q3,10,Die Slack-Integration ist hervorragend.,Scale,de,sdk
r_1299,2026-08-17T22:02:02Z,Post-support CSAT,9,Setting up the HubSpot sync was easy and the NPS property shows up in contacts.,Enterprise,en,link
r_1290,2026-08-21T02:42:33Z,Relationship NPS Q3,6,Renewal came in higher than expected. Would like to see more value for the new price.,Starter,en,sdk
r_1032,2026-08-05T14:27:31Z,Onboarding NPS,8,No mobile app is my only complaint.,Scale,en,slack
r_1067,2026-08-07T02:06:39Z,Relationship NPS Q3,5,The export I downloaded on Monday was missing Sunday's responses again.,Enterprise,en,slack
r_1183,2026-08-12T10:31:30Z,Relationship NPS Q3,9,The Intercom integration saved us a custom build. Very happy.,Enterprise,en,sdk
r_1134,2026-08-16T03:23:26Z,Post-support CSAT,5,Performance of the main dashboard is the one thing holding us back from a 9.,Scale,en,sdk
r_1288,2026-08-21T02:42:11Z,Post-support CSAT,8,n/a,Enterprise,en,email
r_1192,2026-08-12T04:14:37Z,Post-support CSAT,2,Renewal came in higher than expected. Would like to see more value for the new price.,Starter,en,slack
r_1270,2026-08-23T20:55:10Z,Post-support CSAT,5,Cost is now our main concern. The product is fine but the increase was too much at once.,Starter,en,sdk
r_1157,2026-08-12T12:04:18Z,Relationship NPS Q3,8,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Starter,es,email
r_1185,2026-08-10T23:04:28Z,Post-support CSAT,5,El soporte tarda demasiado en responder.,Growth,es,link
r_1263,2026-08-17T12:22:50Z,Post-support CSAT,9,Simple to get going and the templates are good.,Starter,en,slack
r_1201,2026-08-19T23:18:24Z,Relationship NPS Q3,6,El aumento de precio en la renovación fue demasiado. Estamos evaluando otras opciones.,Starter,es,link
r_1204,2026-08-18T05:20:49Z,Onboarding NPS,5,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Enterprise,en,email
r_1303,2026-08-19T15:00:18Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1140,2026-08-11T19:53:20Z,Post-support CSAT,7,Pricing update hurt. We are evaluating alternatives because of the increase.,Enterprise,en,email
r_1158,2026-08-11T06:02:16Z,Onboarding NPS,6,"Love the data, hate waiting for the dashboard to render. Please optimise.",Starter ,en,embed
r_1291,2026-08-22T12:38:11Z,Relationship NPS Q3,8,Good,Enterprise,en,sdk
r_1302,19-08-2026 15:00,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1114,2026-08-14T18:27:49Z,Post-support CSAT,10,"Easy setup, sensible templates, no surprises.",Starter,en,link
r_1021,2026-08-03T21:23:20Z,Relationship NPS Q3,9,Had our first survey out within an hour of signing up. Really smooth onboarding.,Scale,en,embed
r_1093,2026-08-04T09:32:20Z,Relationship NPS Q3,4,Performance of the main dashboard is the one thing holding us back from a 9.,Growth,en,sdk
r_1038,2026-08-07T21:43:44Z,Post-support CSAT,6,No mobile app is my only complaint.,Growth,en,slack
r_1104,2026-08-14T15:09:16Z,Post-support CSAT,6,Dashboard takes 20+ seconds to load once you have a few hundred thousand responses.,Starter,en,sdk
r_1160,2026-08-15T08:23:41Z,Onboarding NPS,5,,STARTER,en,embed
r_1329,2026-08-19T15:04:12Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1103,2026-08-10T12:01:29Z,Post-support CSAT,9,Setting up the HubSpot sync was easy and the NPS property shows up in contacts.,Growth,en,slack
r_1221,2026-08-17T09:54:17Z,Relationship NPS Q3,4,The export I downloaded on Monday was missing Sunday's responses again.,Growth,en,embed
r_1271,2026-08-20T06:14:53Z,Post-support CSAT,5,El soporte tarda demasiado en responder.,Scale,es,embed
r_1036,2026-08-03T04:29:39Z,Relationship NPS Q3,5,La exportación no incluye las respuestas del último día.,Starter,es,link
r_1281,2026-08-21T09:12:51Z,Post-support CSAT,8,,Enterprise,en,email
r_1084,2026-08-03T10:03:20Z,Post-support CSAT,3,Performance of the main dashboard is the one thing holding us back from a 9.,Scale,en,link
r_1249,2026-08-22T03:47:35Z,Post-support CSAT,4,Renewal came in higher than expected. Would like to see more value for the new price.,Scale,en,link
r_1277,2026-08-17T23:45:21Z,Post-support CSAT,8,A mobile app for alerts and the dashboard would be great.,Growth,en,email
r_1289,2026-08-23T10:08:57Z,Relationship NPS Q3,10,Simple to get going and the templates are good.,Enterprise,en,sdk
r_1035,2026-08-06T03:58:49Z,Post-support CSAT,5,Would rate higher if support responded faster.,Starter,en,email
r_1300,2026-08-18T15:35:03Z,Onboarding NPS,4,Pricing update hurt. We are evaluating alternatives because of the increase.,Enterprise,en,sdk
r_1146,2026-08-11T05:48:25Z,Onboarding NPS,7,A mobile app for alerts and the dashboard would be great.,Growth ,en,embed
r_1285,2026-08-18T21:46:15Z,Onboarding NPS,8,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,sdk
r_1171,2026-08-11T20:13:44Z,Post-support CSAT,9,Pulse Signals surfaced a shipping complaint theme weeks before our team noticed it.,Enterprise,en,sdk
r_1179,2026-08-11T18:26:28Z,Onboarding NPS,5,CSV export keeps missing the most recent day of responses. We reconcile by hand.,Enterprise,en,sdk
r_1076,2026-08-03T06:20:31Z,Post-support CSAT,8,Onboarding was painless and the docs are clear.,Scale,en,embed
r_1177,2026-08-14T09:45:16Z,Relationship NPS Q3,9,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,slack
r_1010,2026-08-08T16:43:27Z,Onboarding NPS,6,n/a,Scale,es,slack
r_1327,2026-08-19T15:03:54Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1038,2026-08-07T21:43:44Z,Post-support CSAT,6,No mobile app is my only complaint.,Growth,en,slack
r_1325,2026-08-19T15:03:36Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1051,2026-08-03T10:55:28Z,Onboarding NPS,6,El panel tarda mucho en cargar cuando hay muchas respuestas.,Growth,es,email
r_1166,2026-08-16T16:54:55Z,Relationship NPS Q3,9,Had our first survey out within an hour of signing up. Really smooth onboarding.,Growth,en,embed
r_1279,2026-08-20T07:07:21Z,Relationship NPS Q3,7,The new pricing feels aggressive for what is essentially the same product.,Enterprise,en,email
r_1058,2026-08-06T00:16:49Z,Relationship NPS Q3,3,Cost is now our main concern. The product is fine but the increase was too much at once.,Starter,en,embed
r_1119,08/15/2026 01:56,Onboarding NPS,5,The new pricing feels aggressive for what is essentially the same product.,Scale,en,slack
r_1305,2026-08-19T15:00:36Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1139,2026-08-12T20:27:01Z,Post-support CSAT,9,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Scale,en,email
r_1331,2026-08-06T16:02:42Z,Relationship NPS Q3,7,Cost is now our main concern. The product is fine but the increase was too much at once.,Enterprise,en,slack
r_1125,2026-08-10T01:27:32Z,Post-support CSAT,5,"Exports are off by a day, looks like a timezone issue. Frustrating for reporting.",Starter,en,email
r_1170,2026-08-16T11:38:22Z,Relationship NPS Q3,4,La exportación no incluye las respuestas del último día.,Scale,es,link
r_1342,2026-08-09T13:01:51Z,Post-support CSAT,5,"Email james.w@brightcart.example, I have screenshots of the timezone issue in exports.",Scale,en,sdk
r_1050,2026-08-06T18:55:58Z,Relationship NPS Q3,9,The Intercom integration saved us a custom build. Very happy.,Growth,en,sdk
r_1135,2026-08-14T10:04:57Z,Relationship NPS Q3,7,Had to chase support twice for an answer about seats.,enterprise,en,embed
r_1105,2026-08-15T15:33:49Z,Relationship NPS Q3,7,"Two things:
1. Dashboard is slow.
2. Exports miss a day.
Otherwise happy, would recommend.",Scale,en,link
r_1194,2026-08-11T14:10:34Z,Relationship NPS Q3,5,Fine.,Starter,hi,sdk
r_1254,2026-08-18T21:46:05Z,Relationship NPS Q3,9,The AI themes are a bit generic sometimes but they save hours of reading comments.,Enterprise,en,email
r_1018,08/03/2026 01:29,Post-support CSAT,8,,Enterprise,en,link
r_1274,2026-08-23T07:41:30Z,Post-support CSAT,3,The dashboard freezes when we apply date filters over a year of data.,Growth,en,embed
r_1007,2026-08-09T08:48:58Z,Post-support CSAT,5,Export data does not match the dashboard totals. Timezone maybe?,Enterprise,en,slack
r_1147,2026-08-13T04:57:26Z,Post-support CSAT,6,-,Enterprise,en,slack
r_1273,2026-08-18T16:06:55Z,Post-support CSAT,9,Setting up the HubSpot sync was easy and the NPS property shows up in contacts.,Growth,en,slack
r_1054,2026-08-09T15:28:05Z,Post-support CSAT,5,The dashboard freezes when we apply date filters over a year of data.,Scale,en,email
r_1094,2026-08-09T15:17:49Z,Relationship NPS Q3,3,Das Dashboard ist bei großen Datenmengen sehr langsam.,Scale,de,embed
r_1017,2026-08-06T00:11:16Z,Relationship NPS Q3,5,Der Support antwortet leider sehr langsam.,Starter,de,slack
r_1202,2026-08-22T10:51:17Z,Post-support CSAT,8,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Starter,en,embed
r_1320,2026-08-19T15:02:51Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1040,2026-08-08T07:12:36Z,Relationship NPS Q3,10,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Scale,en,embed
r_1057,2026-08-03T08:16:38Z,Relationship NPS Q3,3,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Starter,en,embed
r_1264,2026-08-17T20:52:24Z,Onboarding NPS,10,Signals themes are genuinely useful for our weekly review.,Scale,en,slack
r_1042,2026-08-04T23:13:19Z,Onboarding NPS,5,,Starter,en,email
r_1110,2026-08-15T10:18:48Z,Onboarding NPS,3,El panel tarda mucho en cargar cuando hay muchas respuestas.,Starter,es,embed
r_1083,2026-08-05T07:03:56Z,Relationship NPS Q3,3,Good,Growth,en,link
r_1136,2026-08-12T20:46:34Z,Relationship NPS Q3,5,,Growth,es,sdk
r_1154,2026-08-14T16:31:52Z,Onboarding NPS,9,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Scale,en,embed
r_1041,2026-08-08T01:21:15Z,Post-support CSAT,9,Die Slack-Integration ist hervorragend.,Starter,de,slack
r_1314,08/19/2026 15:01,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1339,2026-08-10T20:12:11Z,Relationship NPS Q3,8,"Please call me about the renewal, +91 98765 43210, I want to discuss the price increase.",Growth,en,sdk
r_1023,2026-08-05T01:43:47Z,Relationship NPS Q3,10,Integrations just work. Zapier plus Slack covers everything we need.,Growth,en,sdk
r_1090,2026-08-05T17:26:05Z,Onboarding NPS,3,"Exports are off by a day, looks like a timezone issue. Frustrating for reporting.",Enterprise,en,link
r_1150,2026-08-11T23:28:17Z,Post-support CSAT,9,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,embed
r_1210,2026-08-18T20:06:50Z,Onboarding NPS,9,Onboarding was painless and the docs are clear.,Growth,en,slack
r_1222,2026-08-19T08:24:48Z,Onboarding NPS,5,The price went up 25% at renewal with no real change in what we get. Hard to justify to finance.,Enterprise,en,email
r_1223,2026-08-18T12:05:50Z,Relationship NPS Q3,8,Los temas de Signals nos ahorran horas de lectura.,Scale,es,link
r_1022,2026-08-08T18:39:07Z,Post-support CSAT,5,Good,Scale,de,sdk
r_1052,2026-08-04T05:20:45Z,Relationship NPS Q3,8,Setting up the HubSpot sync was easy and the NPS property shows up in contacts.,Growth,en,slack
r_1312,2026-08-19T15:01:39Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1343,2026-08-06T22:13:15Z,Post-support CSAT,3,"Card ending 4242 was charged twice this month, call +1 (415) 555-0134.",Growth,en,email
r_1129,2026-08-12T18:56:52Z,Post-support CSAT,7,,Growth,en,slack
r_1225,2026-08-18T06:41:08Z,Post-support CSAT,10,,Scale,en,link
r_1301,2026-08-19T15:00:00Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1330,2026-08-19T15:04:21Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1308,2026-08-19T15:01:03Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1107,2026-08-10T22:07:51Z,Onboarding NPS,6,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,GROWTH,en,sdk
r_1335,2026-08-09T06:03:58Z,Post-support CSAT,9,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Enterprise,es,link
r_1206,2026-08-20T03:40:04Z,Onboarding NPS,9,Signals themes are genuinely useful for our weekly review.,Scale,en,email
r_1188,2026-08-16T04:51:58Z,Post-support CSAT,10,Signals themes are genuinely useful for our weekly review.,Scale,en,sdk
r_1096,2026-08-05T16:50:04Z,Post-support CSAT,7,Good,Enterprise,en,sdk
r_1029,2026-08-09T09:34:23Z,Onboarding NPS,3,The dashboard freezes when we apply date filters over a year of data.,Scale,en,email
r_1211,2026-08-17T04:19:14Z,Onboarding NPS,3,Cost is now our main concern. The product is fine but the increase was too much at once.,Growth,en,embed
r_1159,2026-08-10T19:27:38Z,Relationship NPS Q3,2,El aumento de precio en la renovación fue demasiado. Estamos evaluando otras opciones.,Starter,es,slack
r_1002,2026-08-05T21:53:09Z,Relationship NPS Q3,7,Had to chase support twice for an answer about seats.,STARTER,en,email
r_1080,2026-08-09T09:47:20Z,Onboarding NPS,5,Filtering the dashboard by segment is painfully slow for us.,Enterprise,en,email
r_1307,2026-08-19T15:00:54Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1323,2026-08-19T15:03:18Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1048,2026-08-03T16:58:48Z,Relationship NPS Q3,7,Please build a mobile app. Checking scores on the phone browser is clunky.,Growth,en,sdk
r_1138,2026-08-14T19:47:35Z,Relationship NPS Q3,5,सपोर्ट का जवाब बहुत देर से आता है।,enterprise,hi,slack
r_1227,2026-08-21T11:09:11Z,Onboarding NPS,2,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Starter,en,email
r_1195,2026-08-10T14:49:04Z,Relationship NPS Q3,5,The price went up 25% at renewal with no real change in what we get. Hard to justify to finance.,Growth,en,sdk
r_1055,2026-08-06T13:19:01Z,Post-support CSAT,8,Pulse Signals surfaced a shipping complaint theme weeks before our team noticed it.,Scale,en,embed
r_1061,2026-08-09T00:07:28Z,Post-support CSAT,6,,Scale,en,link
r_1322,2026-08-19T15:03:09Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1341,2026-08-05T03:36:38Z,Post-support CSAT,3,"My number is 087 234 5566, happy to walk you through the dashboard slowness on a call.",Starter,en,embed
r_1297,2026-08-20T19:33:39Z,Relationship NPS Q3,4,Renewal came in higher than expected. Would like to see more value for the new price.,Scale,en,link
r_1144,2026-08-12T04:50:16Z,Post-support CSAT,5,CSV export keeps missing the most recent day of responses. We reconcile by hand.,Starter,en,embed
r_1319,2026-08-19T15:02:42Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1101,2026-08-10T20:43:00Z,Onboarding NPS,3,El panel tarda mucho en cargar cuando hay muchas respuestas.,Starter,es,embed
r_1066,2026-08-06T13:28:44Z,Onboarding NPS,9,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,enterprise,en,sdk
r_1318,2026-08-19T15:02:33Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1340,2026-08-21T02:50:35Z,Onboarding NPS,4,Reach me at anita.k@lumenbooks.example if you want details on the export bug.,Scale,en,slack
r_1186,2026-08-14T22:19:47Z,Post-support CSAT,10,Signals themes are genuinely useful for our weekly review.,Enterprise,en,email
r_1256,2026-08-21T12:56:25Z,Relationship NPS Q3,10,Slack alerts into our CX channel changed how quickly we react. Great integration.,GROWTH,en,email
r_1214,2026-08-20T14:58:59Z,Relationship NPS Q3,4,Had to chase support twice for an answer about seats.,Scale,en,email
r_1287,2026-08-22T22:42:37Z,Onboarding NPS,4,Had to chase support twice for an answer about seats.,enterprise,en,slack
r_1109,2026-08-13T05:35:29Z,Post-support CSAT,6,We were happy until the new pricing kicked in. $99 for Growth is steep for a small team.,Starter,en,embed
r_1060,2026-08-09T07:09:14Z,Relationship NPS Q3,10,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Scale,es,sdk
r_1190,2026-08-13T05:15:44Z,Onboarding NPS,8,,scale,en,email
r_1193,2026-08-16T18:51:40Z,Relationship NPS Q3,10,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Starter,en,email
r_1317,2026-08-19T15:02:24Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1224,2026-08-23T17:19:56Z,Post-support CSAT,5,The dashboard freezes when we apply date filters over a year of data.,Starter,en,slack
r_1163,2026-08-13T11:43:11Z,Relationship NPS Q3,8,Slack alerts into our CX channel changed how quickly we react. Great integration.,Growth,en,sdk
r_1056,2026-08-08T03:06:23Z,Post-support CSAT,6,Dashboard takes 20+ seconds to load once you have a few hundred thousand responses.,Growth,en,slack
r_1215,2026-08-19T19:17:28Z,Onboarding NPS,8,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Growth,en,embed
r_1294,2026-08-23T10:40:13Z,Relationship NPS Q3,9,Had our first survey out within an hour of signing up. Really smooth onboarding.,Enterprise,en,sdk
r_1328,2026-08-19T15:04:03Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1127,2026-08-13T14:20:43Z,Post-support CSAT,6,The dashboard freezes when we apply date filters over a year of data.,Growth,en,email
r_1073,2026-08-08T01:28:17Z,Onboarding NPS,10,Pulse Signals surfaced a shipping complaint theme weeks before our team noticed it.,Growth,en,email
r_1085,2026-08-08T13:11:47Z,Relationship NPS Q3,4,Das Dashboard ist bei großen Datenmengen sehr langsam.,Growth,de,email
r_1026,2026-08-09T10:21:18Z,Relationship NPS Q3,10,Los temas de Signals nos ahorran horas de lectura.,Growth,es,link
r_1072,2026-08-05T15:54:22Z,Post-support CSAT,9,सेटअप बहुत आसान था।,Growth,hi,slack
r_1118,2026-08-16T00:10:21Z,Onboarding NPS,8,,Starter,en,link
r_1191,2026-08-13T09:06:07Z,Post-support CSAT,9,Los temas de Signals nos ahorran horas de lectura.,Starter,es,slack
r_1239,2026-08-20T09:56:34Z,Post-support CSAT,5,Cost is now our main concern. The product is fine but the increase was too much at once.,Scale,en,sdk
r_1086,2026-08-08T22:38:52Z,Onboarding NPS,10,Onboarding was painless and the docs are clear.,Starter,en,embed
r_1267,2026-08-17T14:28:08Z,Onboarding NPS,8,"Easy setup, sensible templates, no surprises.",Growth,en,embed
r_1064,2026-08-06T05:57:09Z,Post-support CSAT,5,"Exports are off by a day, looks like a timezone issue. Frustrating for reporting.",Starter,en,embed
r_1310,2026-08-19T15:01:21Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1173,2026-08-10T13:47:36Z,Relationship NPS Q3,3,Pricing update hurt. We are evaluating alternatives because of the increase.,Scale,en,sdk
r_1242,2026-08-17T23:14:21Z,Post-support CSAT,5,The dashboard freezes when we apply date filters over a year of data.,Scale,en,slack
r_1047,2026-08-09T07:35:30Z,Onboarding NPS,6,Would rate higher if support responded faster.,Scale,en,email
r_1012,2026-08-09T08:18:08Z,Post-support CSAT,5,Cost is now our main concern. The product is fine but the increase was too much at once.,Scale,en,link
r_1245,2026-08-21T22:43:26Z,Onboarding NPS,5,CSV export keeps missing the most recent day of responses. We reconcile by hand.,Starter,en,email
r_1180,2026-08-13T04:57:28Z,Relationship NPS Q3,2,"Buen producto, pero el nuevo precio es difícil de justificar para un equipo pequeño.",Growth,es,sdk
r_1108,2026-08-14T20:46:31Z,Relationship NPS Q3,9,The Zendesk trigger is brilliant. Surveys go out the minute a ticket closes.,Growth,en,link
r_1148,2026-08-12T04:48:06Z,Onboarding NPS,3,Good,Enterprise,en,embed
r_1220,2026-08-19T11:35:38Z,Post-support CSAT,6,सपोर्ट का जवाब बहुत देर से आता है।,Growth,hi,link
r_1265,2026-08-17T18:08:14Z,Relationship NPS Q3,8,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Scale,es,embed
r_1250,2026-08-22T18:13:18Z,Post-support CSAT,7,Renewal came in higher than expected. Would like to see more value for the new price.,Enterprise,en,slack
r_1218,2026-08-19T02:55:46Z,Relationship NPS Q3,8,The AI themes are a bit generic sometimes but they save hours of reading comments.,GROWTH,en,slack
